Mike	22:25 3/6/2004	130
Jim	22:25 3/6/2004	113
Tom	22:25 3/6/2004	105
Lana	22:25 3/6/2004	130
TomH	22:25 3/6/2004	125
Mike	22:26 3/6/2004	153
TomH	22:26 3/6/2004	174
Mike	10:15 3/5/2017	129
Mike	10:15 3/5/2017	145
Mike	10:42 4/1/2017	93
Jim	10:42 4/1/2017	127
Mike	10:44 4/1/2017	146
Jim	10:44 4/1/2017	89
Tom	7:44 4/4/2017	133
Jim	7:56 4/4/2017	123
Mike	7:56 4/4/2017	108
Jim	8:1 4/4/2017	164
Lana	8:1 4/4/2017	154
Lana	8:1 4/4/2017	166
TomH	8:1 4/4/2017	132
Mike	8:4 4/4/2017	118
Tom	8:4 4/4/2017	165
Lana	8:4 4/4/2017	162
Jim	8:4 4/4/2017	112
Mike	8:15 4/4/2017	96
Lana	8:15 4/4/2017	108
Jim	8:55 4/4/2017	86
Lana	8:55 4/4/2017	116
Jim	8:55 4/4/2017	118
Lana	8:55 4/4/2017	103
Mike	8:58 4/4/2017	146
Tom	8:58 4/4/2017	118
Lana	8:58 4/4/2017	148
Jim	8:58 4/4/2017	147
Mike	8:59 4/4/2017	137
Tom	8:59 4/4/2017	109
Lana	8:59 4/4/2017	140
Jim	8:59 4/4/2017	135
Mike	9:0 4/4/2017	107
Tom	9:1 4/4/2017	109
Lana	9:1 4/4/2017	155
Jim	9:1 4/4/2017	150
Mike	9:2 4/4/2017	153
Tom	9:2 4/4/2017	181
Lana	9:2 4/4/2017	135
Jim	9:2 4/4/2017	136
Mike	9:3 4/4/2017	181
Tom	9:3 4/4/2017	190
Lana	9:3 4/4/2017	151
Jim	9:3 4/4/2017	144
Jim	9:11 4/4/2017	115
Lana	9:11 4/4/2017	129
Jim	9:12 4/4/2017	138
Lana	9:12 4/4/2017	86
Jim	10:10 4/4/2017	207
Lana	10:10 4/4/2017	188
Jim	11:26 4/4/2017	124
Lana	11:26 4/4/2017	136
Jim	11:30 4/4/2017	138
Mike	11:30 4/4/2017	167
Lana	11:36 4/4/2017	136
TomH	11:36 4/4/2017	135
Jim	12:15 4/4/2017	126
Tom	12:15 4/4/2017	161
Lana	12:15 4/4/2017	107
Mike	12:15 4/4/2017	104
Tom	12:33 4/4/2017	144
Jim	12:33 4/4/2017	129
Mike	12:33 4/4/2017	173
Lana	12:33 4/4/2017	132
Tom	12:35 4/4/2017	131
Jim	12:35 4/4/2017	151
Mike	12:35 4/4/2017	117
Lana	12:35 4/4/2017	123
Tom	12:36 4/4/2017	118
Jim	12:37 4/4/2017	120
Mike	12:37 4/4/2017	117
Lana	12:37 4/4/2017	129
Tom	12:38 4/4/2017	96
Jim	12:38 4/4/2017	130
Mike	12:38 4/4/2017	153
Lana	12:38 4/4/2017	118
Tom	12:44 4/4/2017	92
Jim	12:44 4/4/2017	145
Mike	12:44 4/4/2017	99
Lana	12:44 4/4/2017	153
Tom	12:46 4/4/2017	167
Jim	12:46 4/4/2017	139
Mike	12:46 4/4/2017	103
Lana	12:46 4/4/2017	123
Tom	12:47 4/4/2017	124
Jim	12:47 4/4/2017	120
Mike	12:47 4/4/2017	170
Lana	12:47 4/4/2017	180
Tom	12:49 4/4/2017	181
Jim	12:49 4/4/2017	110
Mike	12:49 4/4/2017	127
Lana	12:49 4/4/2017	103
Tom	12:51 4/4/2017	170
Jim	12:51 4/4/2017	127
Mike	12:51 4/4/2017	132
Lana	12:51 4/4/2017	118
Tom	12:56 4/4/2017	115
Jim	12:56 4/4/2017	181
Mike	12:57 4/4/2017	159
Lana	12:57 4/4/2017	90
Tom	12:58 4/4/2017	107
Jim	12:58 4/4/2017	96
Mike	12:58 4/4/2017	182
Lana	12:58 4/4/2017	163
Tom	12:59 4/4/2017	119
Jim	12:59 4/4/2017	139
Mike	12:59 4/4/2017	167
Lana	12:59 4/4/2017	180
Tom	13:0 4/4/2017	136
Jim	13:0 4/4/2017	108
Mike	13:0 4/4/2017	131
Lana	13:0 4/4/2017	154
Tom	13:2 4/4/2017	198
Jim	13:2 4/4/2017	131
Mike	13:2 4/4/2017	128
Lana	13:2 4/4/2017	172
Tom	13:3 4/4/2017	145
Jim	13:3 4/4/2017	174
Mike	13:3 4/4/2017	101
Lana	13:3 4/4/2017	135
Tom	13:4 4/4/2017	118
Jim	13:4 4/4/2017	151
Mike	13:4 4/4/2017	171
Lana	13:4 4/4/2017	107
Tom	13:6 4/4/2017	120
Jim	13:6 4/4/2017	167
Mike	13:6 4/4/2017	124
Lana	13:6 4/4/2017	142
Tom	13:7 4/4/2017	144
Jim	13:7 4/4/2017	107
Mike	13:7 4/4/2017	135
Lana	13:7 4/4/2017	117
Tom	13:9 4/4/2017	85
Jim	13:9 4/4/2017	127
Mike	13:9 4/4/2017	135
Lana	13:9 4/4/2017	145
Tom	13:10 4/4/2017	115
